Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,
Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,"Killer whales","Leopard Seal","Weddell Seal","Crabeater Seal","Antarctic fur seals","S Elephant Seals","Sperm Whales","Blue Whales","Fin Whales","Minke Whales","Humpback whales","Emperor Penguins","Gentoo Penguins","Chinstrap Penguins","Adelie Penguins","Macaroni Penguins","Flying Birds",Cephalopods,Myctophids,"On-shelf fish","N. rossii","C gunnari","G gibberifrons",Salps,"Benthic invertbrates","Krill Large","Krill Small","Other Euphausiids",Micro-Zool,"Meso zooplankton",Macro-zoopl,"Small phytoplankton","Large phytoplankton","Ice Algae",Detritus,
April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.002258319,0,0,0,0,0,0,0,0,0,
May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.001938712,0,0,0,0,0,0,0,0,0,
June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.001399239,0,0,0,0,0,0,0,0,0,
July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.001575381,0,0,0,0,0,0,0,0,0,
August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0004345608,0,0,0,0,0,0,0,0,0,
September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0001876274,0,0,0,0,0,0,0,0,0,
November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0003628141,0,0,0,0,0,0,0,0,0,
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0002098443,0,0,0,0,0,0,0,0,0,
February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0002364911,0,0,0,0,0,0,0,0,0,
March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0006278119,0,0,0,0,0,0,0,0,0,
April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0002181714,0,0,0,0,0,0,0,0,0,
May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,7.258502E-05,0,0,0,0,0,0,0,0,0,
July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
