prey,predator,interaction
Chinstrap Penguin,Southern Elephant Seal,0
Chinstrap Penguin,Sperm Whale,0
Chinstrap Penguin,Blue Whale,0
Chinstrap Penguin,Fin Whale,0
Chinstrap Penguin,Minke Whale,0
Chinstrap Penguin,Humpback Whale,0
Chinstrap Penguin,Emperor Penguin,0
Chinstrap Penguin,Gentoo Penguin,0
Chinstrap Penguin,Chinstrap Penguin,0
Chinstrap Penguin,Adelie Penguin,0
Chinstrap Penguin,Macaroni Penguin,0
Chinstrap Penguin,Flying Birds,0
Chinstrap Penguin,Salps,0
Adelie Penguin,Cephalopods,0
Adelie Penguin,Myctophids,0
Adelie Penguin,On-shelf fish,0
Adelie Penguin,Notothenia rossii,0
Adelie Penguin,Champsocephalus gunnari,0
Adelie Penguin,Gobionotothen gibberifrons,0
Adelie Penguin,Antarctic Krill,0
Adelie Penguin,Other Euphausiids,0
Adelie Penguin,Killer Whale,0.004
Adelie Penguin,Leopard Seal,0
Adelie Penguin,Weddell Seal,0
Adelie Penguin,Crabeater Seal,0
Adelie Penguin,Antarctic Fur Seal,0.005
Adelie Penguin,Southern Elephant Seal,0
Adelie Penguin,Sperm Whale,0
Adelie Penguin,Blue Whale,0
Adelie Penguin,Fin Whale,0
Adelie Penguin,Minke Whale,0
Adelie Penguin,Humpback Whale,0
Adelie Penguin,Emperor Penguin,0
Adelie Penguin,Gentoo Penguin,0
Adelie Penguin,Chinstrap Penguin,0
Adelie Penguin,Adelie Penguin,0
Adelie Penguin,Macaroni Penguin,0
Adelie Penguin,Flying Birds,0
Adelie Penguin,Salps,0
Macaroni Penguin,Cephalopods,0
Macaroni Penguin,Myctophids,0
Macaroni Penguin,On-shelf fish,0
Macaroni Penguin,Notothenia rossii,0
Macaroni Penguin,Champsocephalus gunnari,0
Macaroni Penguin,Gobionotothen gibberifrons,0
Macaroni Penguin,Antarctic Krill,0
Macaroni Penguin,Other Euphausiids,0
Macaroni Penguin,Killer Whale,0
Macaroni Penguin,Leopard Seal,0
Macaroni Penguin,Weddell Seal,0
Macaroni Penguin,Crabeater Seal,0
Macaroni Penguin,Antarctic Fur Seal,0.001
Macaroni Penguin,Southern Elephant Seal,0
Macaroni Penguin,Sperm Whale,0
Macaroni Penguin,Blue Whale,0
Macaroni Penguin,Fin Whale,0
Macaroni Penguin,Minke Whale,0
Macaroni Penguin,Humpback Whale,0
Macaroni Penguin,Emperor Penguin,0
Macaroni Penguin,Gentoo Penguin,0
Macaroni Penguin,Chinstrap Penguin,0
Macaroni Penguin,Adelie Penguin,0
Macaroni Penguin,Macaroni Penguin,0
Macaroni Penguin,Flying Birds,0
Macaroni Penguin,Salps,0
Flying Birds,Cephalopods,0
Flying Birds,Myctophids,0
Flying Birds,On-shelf fish,0
Flying Birds,Notothenia rossii,0
Flying Birds,Champsocephalus gunnari,0
Flying Birds,Gobionotothen gibberifrons,0
Flying Birds,Antarctic Krill,0
Flying Birds,Other Euphausiids,0
Flying Birds,Killer Whale,0
Flying Birds,Leopard Seal,0
Flying Birds,Weddell Seal,0
Flying Birds,Crabeater Seal,0
Flying Birds,Antarctic Fur Seal,0
Flying Birds,Southern Elephant Seal,0
Flying Birds,Sperm Whale,0
Flying Birds,Blue Whale,0
Flying Birds,Fin Whale,0
Flying Birds,Minke Whale,0
Flying Birds,Humpback Whale,0
Flying Birds,Emperor Penguin,0
Flying Birds,Gentoo Penguin,0
Flying Birds,Chinstrap Penguin,0
Flying Birds,Adelie Penguin,0
Flying Birds,Macaroni Penguin,0
Flying Birds,Flying Birds,0
Flying Birds,Salps,0
Salps,Cephalopods,0
Salps,Myctophids,0
Salps,On-shelf fish,0.01
Salps,Notothenia rossii,0.02
Salps,Champsocephalus gunnari,0
Salps,Gobionotothen gibberifrons,0.17
Salps,Antarctic Krill,0
Salps,Other Euphausiids,0
Salps,Killer Whale,0
Salps,Leopard Seal,0
Salps,Weddell Seal,0
Salps,Crabeater Seal,0
Salps,Antarctic Fur Seal,0
Salps,Southern Elephant Seal,0
Salps,Sperm Whale,0
Salps,Blue Whale,0
Salps,Fin Whale,0
Salps,Minke Whale,0
Salps,Humpback Whale,0
Salps,Emperor Penguin,0
Salps,Gentoo Penguin,0
Salps,Chinstrap Penguin,0
Salps,Adelie Penguin,0
Salps,Macaroni Penguin,0
Salps,Flying Birds,0
Salps,Salps,0
